,0
1561,23.0
1562,15.0
1563,18.0
1564,7.0
1565,15.0
1566,16.0
1567,12.0
1568,18.0
1569,16.0
1570,17.0
1571,15.0
1572,9.0
1573,12.0
1574,12.0
1575,18.0
1576,17.0
1577,16.0
1578,13.0
1579,20.0
1580,21.0
1581,18.0
1582,24.0
1583,15.0
1584,13.0
1585,13.0
1586,18.0
1587,20.0
1588,18.0
1589,15.0
1590,24.0
1591,17.0
1592,17.0
1593,19.0
1594,11.0
1595,15.0
1596,12.0
1597,18.0
1598,19.0
1599,16.0
1600,19.0
1601,20.0
1602,18.0
1603,19.0
1604,8.0
1605,20.0
1606,14.0
1607,18.0
1608,13.0
1609,20.0
1610,14.0
1611,14.0
1612,20.0
1613,15.0
1614,16.0
1615,15.0
1616,18.0
1617,18.0
1618,13.0
1619,20.0
1620,20.0
1621,14.0
1622,17.0
1623,18.0
1624,19.0
1625,16.0
1626,17.0
1627,12.0
1628,12.0
1629,13.0
1630,17.0
1631,13.0
1632,15.0
1633,13.0
1634,14.0
1635,14.0
1636,20.0
1637,15.0
1638,15.0
1639,15.0
1640,4.0
1641,11.0
1642,13.0
1643,17.0
1644,15.0
1645,18.0
1646,22.0
1647,11.0
1648,13.0
1649,19.0
1650,14.0
1651,12.0
1652,16.0
1653,16.0
1654,13.0
1655,12.0
1656,10.0
1657,14.0
1658,16.0
1659,14.0
1660,14.0
1661,18.0
1662,13.0
1663,13.0
1664,15.0
1665,17.0
1666,16.0
1667,18.0
1668,13.0
1669,14.0
1670,15.0
1671,15.0
1672,15.0
1673,11.0
1674,17.0
1675,19.0
1676,16.0
1677,13.0
1678,17.0
1679,22.0
1680,20.0
1681,19.0
1682,14.0
1683,20.0
1684,16.0
1685,12.0
1686,16.0
1687,23.0
1688,17.0
1689,10.0
1690,16.0
1691,18.0
1692,11.0
1693,13.0
1694,20.0
1695,17.0
1696,14.0
1697,15.0
1698,21.0
1699,16.0
1700,16.0
1701,13.0
1702,14.0
1703,15.0
1704,19.0
1705,16.0
1706,11.0
1707,14.0
1708,19.0
1709,19.0
1710,14.0
1711,20.0
1712,15.0
1713,16.0
1714,8.0
1715,9.0
1716,11.0
1717,9.0
1718,19.0
1719,14.0
1720,8.0
1721,13.0
1722,15.0
1723,15.0
1724,10.0
1725,13.0
1726,15.0
1727,13.0
1728,14.0
1729,16.0
1730,19.0
1731,14.0
1732,16.0
1733,14.0
1734,12.0
1735,13.0
1736,16.0
1737,19.0
1738,18.0
1739,14.0
1740,14.0
1741,15.0
1742,14.0
1743,20.0
1744,17.0
1745,20.0
1746,15.0
1747,17.0
1748,15.0
1749,15.0
1750,13.0
1751,11.0
1752,22.0
1753,20.0
1754,19.0
1755,18.0
1756,14.0
1757,14.0
1758,17.0
1759,7.0
1760,18.0
1761,19.0
1762,18.0
1763,17.0
1764,9.0
1765,21.0
1766,18.0
1767,18.0
1768,13.0
1769,10.0
1770,17.0
1771,6.0
1772,19.0
1773,16.0
1774,20.0
1775,17.0
1776,17.0
1777,13.0
1778,18.0
1779,14.0
1780,16.0
1781,11.0
1782,18.0
1783,12.0
1784,27.0
1785,13.0
1786,20.0
1787,18.0
1788,14.0
1789,10.0
1790,16.0
1791,17.0
1792,23.0
1793,9.0
1794,14.0
1795,18.0
1796,16.0
1797,18.0
1798,10.0
1799,18.0
1800,20.0
1801,8.0
1802,11.0
1803,12.0
1804,12.0
1805,16.0
1806,20.0
1807,13.0
1808,16.0
1809,25.0
1810,15.0
1811,10.0
1812,14.0
1813,17.0
1814,7.0
1815,13.0
1816,18.0
1817,5.0
1818,18.0
1819,16.0
1820,16.0
1821,19.0
1822,22.0
1823,11.0
1824,24.0
1825,13.0
1826,18.0
1827,13.0
1828,24.0
1829,14.0
1830,9.0
1831,11.0
1832,11.0
1833,18.0
1834,12.0
1835,10.0
1836,11.0
1837,18.0
1838,9.0
1839,19.0
1840,19.0
1841,17.0
1842,18.0
1843,13.0
1844,19.0
1845,18.0
1846,16.0
1847,17.0
1848,18.0
1849,19.0
1850,16.0
1851,14.0
1852,21.0
1853,17.0
1854,13.0
1855,17.0
1856,8.0
1857,8.0
1858,14.0
1859,15.0
1860,10.0
1861,18.0
1862,16.0
1863,16.0
1864,16.0
1865,11.0
1866,14.0
1867,14.0
1868,13.0
1869,13.0
1870,15.0
1871,17.0
1872,19.0
1873,15.0
1874,9.0
1875,12.0
1876,11.0
1877,10.0
1878,12.0
1879,18.0
1880,19.0
1881,15.0
1882,13.0
1883,16.0
1884,19.0
1885,17.0
1886,19.0
1887,13.0
1888,15.0
1889,12.0
1890,19.0
1891,12.0
1892,0.0
1893,17.0
1894,15.0
1895,16.0
1896,13.0
1897,11.0
1898,18.0
1899,18.0
1900,19.0
1901,21.0
1902,13.0
1903,14.0
1904,21.0
1905,12.0
1906,17.0
1907,15.0
1908,16.0
1909,17.0
1910,17.0
1911,12.0
1912,11.0
1913,15.0
1914,14.0
1915,13.0
1916,15.0
1917,18.0
1918,17.0
1919,12.0
1920,16.0
1921,17.0
1922,23.0
1923,16.0
1924,20.0
1925,19.0
1926,20.0
1927,15.0
1928,19.0
1929,15.0
1930,15.0
1931,15.0
1932,15.0
1933,15.0
1934,10.0
1935,15.0
1936,14.0
1937,16.0
1938,19.0
1939,7.0
1940,23.0
1941,4.0
1942,12.0
1943,17.0
1944,20.0
1945,13.0
1946,23.0
1947,13.0
1948,20.0
1949,12.0
1950,17.0
1951,12.0
1952,7.0
1953,19.0
1954,18.0
1955,16.0
1956,12.0
1957,5.0
1958,19.0
1959,24.0
1960,20.0
1961,15.0
1962,13.0
1963,12.0
1964,13.0
1965,5.0
1966,17.0
1967,18.0
1968,17.0
1969,19.0
1970,21.0
1971,15.0
1972,13.0
1973,19.0
1974,17.0
1975,15.0
1976,18.0
1977,18.0
1978,15.0
1979,15.0
1980,18.0
1981,21.0
1982,20.0
1983,14.0
1984,13.0
1985,17.0
1986,11.0
1987,20.0
1988,9.0
1989,26.0
1990,17.0
1991,16.0
1992,15.0
1993,16.0
1994,14.0
1995,13.0
1996,14.0
1997,10.0
1998,15.0
1999,20.0
