,0
1399,12.0
1400,19.0
1401,18.0
1402,15.0
1403,13.0
1404,15.0
1405,22.0
1406,12.0
1407,7.0
1408,19.0
1409,15.0
1410,16.0
1411,14.0
1412,18.0
1413,20.0
1414,10.0
1415,14.0
1416,20.0
1417,13.0
1418,10.0
1419,17.0
1420,20.0
1421,12.0
1422,14.0
1423,16.0
1424,14.0
1425,11.0
1426,15.0
1427,15.0
1428,13.0
1429,15.0
1430,16.0
1431,19.0
1432,23.0
1433,16.0
1434,14.0
1435,10.0
1436,18.0
1437,15.0
1438,17.0
1439,18.0
1440,15.0
1441,18.0
1442,25.0
1443,17.0
1444,18.0
1445,15.0
1446,11.0
1447,17.0
1448,19.0
1449,15.0
1450,13.0
1451,12.0
1452,19.0
1453,22.0
1454,13.0
1455,17.0
1456,6.0
1457,22.0
1458,6.0
1459,21.0
1460,13.0
1461,15.0
1462,20.0
1463,19.0
1464,10.0
1465,4.0
1466,21.0
1467,23.0
1468,12.0
1469,5.0
1470,12.0
1471,17.0
1472,15.0
1473,18.0
1474,10.0
1475,19.0
1476,8.0
1477,3.0
1478,16.0
1479,9.0
1480,15.0
1481,20.0
1482,16.0
1483,15.0
1484,16.0
1485,18.0
1486,17.0
1487,12.0
1488,12.0
1489,14.0
1490,16.0
1491,18.0
1492,17.0
1493,13.0
1494,15.0
1495,15.0
1496,9.0
1497,13.0
1498,16.0
1499,13.0
1500,12.0
1501,16.0
1502,15.0
1503,16.0
1504,13.0
1505,20.0
1506,20.0
1507,3.0
1508,18.0
1509,16.0
1510,17.0
1511,13.0
1512,20.0
1513,15.0
1514,17.0
1515,7.0
1516,15.0
1517,17.0
1518,7.0
1519,17.0
1520,15.0
1521,20.0
1522,12.0
1523,8.0
1524,15.0
1525,17.0
1526,12.0
1527,13.0
1528,16.0
1529,0.0
1530,14.0
1531,11.0
1532,16.0
1533,17.0
1534,16.0
1535,20.0
1536,7.0
1537,21.0
1538,11.0
1539,18.0
1540,20.0
1541,16.0
1542,12.0
1543,17.0
1544,19.0
1545,10.0
1546,18.0
1547,3.0
1548,9.0
1549,12.0
1550,17.0
1551,14.0
1552,12.0
1553,17.0
1554,12.0
1555,13.0
1556,12.0
1557,11.0
1558,11.0
1559,13.0
1560,17.0
1561,16.0
1562,17.0
1563,16.0
1564,14.0
1565,14.0
1566,15.0
1567,10.0
1568,13.0
1569,16.0
1570,13.0
1571,13.0
1572,14.0
1573,5.0
1574,9.0
1575,17.0
1576,24.0
1577,12.0
1578,14.0
1579,13.0
1580,19.0
1581,17.0
1582,9.0
1583,17.0
1584,16.0
1585,16.0
1586,11.0
1587,20.0
1588,13.0
1589,17.0
1590,16.0
1591,13.0
1592,12.0
1593,11.0
1594,12.0
1595,15.0
1596,20.0
1597,15.0
1598,12.0
1599,16.0
1600,16.0
1601,16.0
1602,14.0
1603,24.0
1604,16.0
1605,11.0
1606,12.0
1607,13.0
1608,19.0
1609,17.0
1610,17.0
1611,17.0
1612,16.0
1613,23.0
1614,11.0
1615,12.0
1616,16.0
1617,12.0
1618,17.0
1619,20.0
1620,18.0
1621,7.0
1622,15.0
1623,15.0
1624,26.0
1625,5.0
1626,20.0
1627,13.0
1628,11.0
1629,12.0
1630,15.0
1631,20.0
1632,15.0
1633,15.0
1634,18.0
